InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
1000000,0.1,1,0.85,99712,76002,59114,0.762,0.593
1000000,0.1,4,0.8,100244,66069,48074,0.659,0.48
1000000,0.1,3,0.8,100244,68316,50072,0.681,0.5
1000000,0.1,2,0.8,100244,76982,53821,0.768,0.537
1000000,0.1,1,0.8,100244,77140,53062,0.77,0.529
1000000,0.1,4,0.75,99871,64754,39657,0.648,0.397
1000000,0.1,3,0.75,99871,68104,42300,0.682,0.424
1000000,0.1,2,0.75,99871,77603,46276,0.777,0.463
1000000,0.1,1,0.75,99871,78905,46733,0.79,0.468
1000000,0.1,4,0.7,99932,66914,32891,0.67,0.329
1000000,0.1,3,0.7,99932,71841,36053,0.719,0.361
1000000,0.1,2,0.7,99932,88981,41968,0.89,0.42
1000000,0.1,1,0.7,99932,82960,41130,0.83,0.412
1000000,0.1,4,1.0,100111,95150,95085,0.95,0.95
1000000,0.1,3,1.0,100111,91745,91529,0.916,0.914
1000000,0.1,2,1.0,100111,90690,90241,0.906,0.901
1000000,0.1,1,1.0,100111,84170,80882,0.841,0.808
1000000,0.1,4,0.95,100323,79927,77721,0.797,0.775
1000000,0.1,3,0.95,100323,80552,78443,0.803,0.782
1000000,0.1,2,0.95,100323,85326,80995,0.851,0.807
1000000,0.1,1,0.95,100323,80260,73589,0.8,0.734
1000000,0.1,4,0.9,100372,71582,65498,0.713,0.653
1000000,0.1,3,0.9,100372,72791,66976,0.725,0.667
1000000,0.1,2,0.9,100372,78010,68943,0.777,0.687
1000000,0.1,1,0.9,100372,77608,66318,0.773,0.661
1000000,0.1,4,0.85,99899,64122,53667,0.642,0.537
1000000,0.1,3,0.85,99899,65896,55684,0.66,0.557
1000000,0.1,2,0.85,99899,62671,52821,0.627,0.529
1000000,0.1,1,0.85,99899,76513,59382,0.766,0.594
1000000,0.1,4,0.8,99895,55713,41613,0.558,0.417
1000000,0.1,3,0.8,99895,58908,44796,0.59,0.448
1000000,0.1,2,0.8,99895,56110,43050,0.562,0.431
1000000,0.1,1,0.8,99895,76875,52587,0.77,0.526
1000000,0.1,4,0.75,100528,49276,31745,0.49,0.316
1000000,0.1,3,0.75,100528,55406,36623,0.551,0.364
1000000,0.1,2,0.75,100528,54165,36268,0.539,0.361
1000000,0.1,1,0.75,100528,79423,47042,0.79,0.468
1000000,0.1,4,0.7,100600,38004,20466,0.378,0.203
1000000,0.1,3,0.7,100600,49038,27096,0.487,0.269
1000000,0.1,2,0.7,100600,52303,29434,0.52,0.293
1000000,0.1,1,0.7,100600,75983,37700,0.755,0.375
1000000,0.1,3,0.8,99862,66696,49219,0.668,0.493
1000000,0.1,2,0.8,99862,73569,52203,0.737,0.523
1000000,0.1,1,0.8,99862,76730,52845,0.768,0.529
1000000,0.1,5,0.75,100235,46712,28932,0.466,0.289
1000000,0.1,4,0.75,100235,61674,38037,0.615,0.379
1000000,0.1,3,0.75,100235,66297,41362,0.661,0.413
1000000,0.1,2,0.75,100235,73932,44930,0.738,0.448
1000000,0.1,1,0.75,100235,79483,46911,0.793,0.468
1000000,0.1,5,0.7,99993,41028,20764,0.41,0.208
1000000,0.1,4,0.7,99993,60847,30621,0.609,0.306
1000000,0.1,3,0.7,99993,68164,34930,0.682,0.349
1000000,0.1,2,0.7,99993,85341,41018,0.853,0.41
1000000,0.1,1,0.7,99993,82825,41091,0.828,0.411
100000,0.1,5,1.0,9960,8816,8804,0.885,0.884
100000,0.1,4,1.0,9960,9031,9015,0.907,0.905
100000,0.1,3,1.0,9960,9082,9052,0.912,0.909
100000,0.1,2,1.0,9960,9065,9023,0.91,0.906
100000,0.1,1,1.0,9960,8397,8072,0.843,0.81
100000,0.1,5,0.95,9943,7367,7135,0.741,0.718
100000,0.1,4,0.95,9943,7910,7663,0.796,0.771
100000,0.1,3,0.95,9943,8072,7839,0.812,0.788
100000,0.1,2,0.95,9943,8473,8060,0.852,0.811
100000,0.1,1,0.95,9943,7906,7261,0.795,0.73
100000,0.1,5,0.9,10062,6485,5876,0.645,0.584
100000,0.1,4,0.9,10062,7299,6600,0.725,0.656
100000,0.1,3,0.9,10062,7535,6870,0.749,0.683
100000,0.1,2,0.9,10062,8257,7260,0.821,0.722
100000,0.1,1,0.9,10062,7818,6681,0.777,0.664
100000,0.1,5,0.85,10183,5699,4675,0.56,0.459
100000,0.1,4,0.85,10183,6842,5621,0.672,0.552
100000,0.1,3,0.85,10183,7264,6036,0.713,0.593
100000,0.1,2,0.85,10183,8315,6539,0.817,0.642
100000,0.1,1,0.85,10183,7778,6056,0.764,0.595
100000,0.1,5,0.8,9886,4790,3427,0.485,0.347
100000,0.1,4,0.8,9886,6296,4527,0.637,0.458
100000,0.1,3,0.8,9886,6938,5011,0.702,0.507
100000,0.1,2,0.8,9886,8221,5614,0.832,0.568
100000,0.1,1,0.8,9886,7687,5267,0.778,0.533
100000,0.1,5,0.75,9997,4355,2612,0.436,0.261
100000,0.1,4,0.75,9997,6252,3788,0.625,0.379
100000,0.1,3,0.75,9997,7132,4352,0.713,0.435
100000,0.1,2,0.75,9997,8517,4926,0.852,0.493
100000,0.1,1,0.75,9997,7879,4704,0.788,0.471
100000,0.1,5,0.7,9943,3887,1877,0.391,0.189
100000,0.1,4,0.7,9943,6159,3001,0.619,0.302
100000,0.1,3,0.7,9943,7371,3570,0.741,0.359
100000,0.1,2,0.7,9943,8915,4162,0.897,0.419
100000,0.1,1,0.7,9943,8266,4052,0.831,0.408
100000,0.1,5,1.0,10118,8914,8901,0.881,0.88
100000,0.1,4,1.0,10118,9065,9040,0.896,0.893
100000,0.1,3,1.0,10118,9162,9131,0.906,0.902
100000,0.1,2,1.0,10118,9189,9127,0.908,0.902
100000,0.1,1,1.0,10118,8622,8273,0.852,0.818
100000,0.1,5,0.95,9980,7243,6989,0.726,0.7
100000,0.1,4,0.95,9980,7790,7525,0.781,0.754
100000,0.1,3,0.95,9980,8029,7791,0.805,0.781
100000,0.1,2,0.95,9980,8449,8009,0.847,0.803
100000,0.1,1,0.95,9980,7956,7288,0.797,0.73
100000,0.1,5,0.9,9943,6031,5450,0.607,0.548
100000,0.1,4,0.9,9943,6906,6263,0.695,0.63
100000,0.1,3,0.9,9943,7276,6616,0.732,0.665
100000,0.1,2,0.9,9943,8014,7032,0.806,0.707
100000,0.1,1,0.9,9943,7675,6506,0.772,0.654
100000,0.1,5,0.85,9827,5244,4295,0.534,0.437
100000,0.1,4,0.85,9827,6408,5288,0.652,0.538
100000,0.1,3,0.85,9827,6908,5706,0.703,0.581
100000,0.1,2,0.85,9827,7890,6219,0.803,0.633
100000,0.1,1,0.85,9827,7456,5794,0.759,0.59
100000,0.1,5,0.8,10028,4672,3385,0.466,0.338
100000,0.1,4,0.8,10028,6281,4507,0.626,0.449
100000,0.1,3,0.8,10028,6966,5038,0.695,0.502
100000,0.1,2,0.8,10028,8191,5635,0.817,0.562
100000,0.1,1,0.8,10028,7797,5354,0.778,0.534
100000,0.1,5,0.75,9940,4106,2458,0.413,0.247
100000,0.1,4,0.75,9940,5961,3591,0.6,0.361
100000,0.1,3,0.75,9940,6955,4170,0.7,0.42
100000,0.1,2,0.75,9940,8369,4797,0.842,0.483
100000,0.1,1,0.75,9940,7857,4652,0.79,0.468
100000,0.1,5,0.7,10056,3521,1776,0.35,0.177
100000,0.1,4,0.7,10056,6001,2974,0.597,0.296
100000,0.1,3,0.7,10056,7400,3664,0.736,0.364
100000,0.1,2,0.7,10056,9115,4330,0.906,0.431
100000,0.1,1,0.7,10056,8406,4247,0.836,0.422
100000,0.1,5,1.0,10110,8755,8753,0.866,0.866
100000,0.1,4,1.0,10110,8971,8956,0.887,0.886
100000,0.1,3,1.0,10110,9105,9081,0.901,0.898
100000,0.1,2,1.0,10110,9166,9114,0.907,0.901
100000,0.1,1,1.0,10110,8513,8190,0.842,0.81
100000,0.1,5,0.95,10110,7031,6821,0.695,0.675
100000,0.1,4,0.95,10110,7676,7461,0.759,0.738
100000,0.1,3,0.95,10110,8012,7779,0.792,0.769
100000,0.1,2,0.95,10110,8466,8050,0.837,0.796
100000,0.1,1,0.95,10110,7965,7279,0.788,0.72
100000,0.1,5,0.9,9992,5958,5389,0.596,0.539
100000,0.1,4,0.9,9992,6956,6307,0.696,0.631
100000,0.1,3,0.9,9992,7446,6753,0.745,0.676
100000,0.1,2,0.9,9992,8173,7148,0.818,0.715
100000,0.1,1,0.9,9992,7764,6624,0.777,0.663
100000,0.1,5,0.85,9886,5034,4135,0.509,0.418
100000,0.1,4,0.85,9886,6449,5283,0.652,0.534
100000,0.1,3,0.85,9886,7086,5823,0.717,0.589
100000,0.1,2,0.85,9886,7968,6287,0.806,0.636
100000,0.1,1,0.85,9886,7718,5979,0.781,0.605
100000,0.1,5,0.8,9991,4197,3006,0.42,0.301
100000,0.1,4,0.8,9991,5831,4208,0.584,0.421
100000,0.1,3,0.8,9991,6814,4910,0.682,0.491
100000,0.1,2,0.8,9991,7778,5401,0.779,0.541
100000,0.1,1,0.8,9991,7759,5288,0.777,0.529
100000,0.1,5,0.75,10015,3594,2246,0.359,0.224
100000,0.1,4,0.75,10015,5557,3433,0.555,0.343
100000,0.1,3,0.75,10015,6813,4243,0.68,0.424
100000,0.1,2,0.75,10015,7828,4705,0.782,0.47
100000,0.1,1,0.75,10015,7779,4699,0.777,0.469
100000,0.1,5,0.7,10012,3114,1558,0.311,0.156
100000,0.1,4,0.7,10012,5503,2718,0.55,0.271
100000,0.1,3,0.7,10012,7312,3559,0.73,0.355
100000,0.1,2,0.7,10012,8525,4079,0.851,0.407
100000,0.1,1,0.7,10012,8382,4137,0.837,0.413
100000,0.1,5,1.0,9917,8814,8813,0.889,0.889
100000,0.1,4,1.0,9917,9090,9085,0.917,0.916
100000,0.1,3,1.0,9917,9070,9054,0.915,0.913
100000,0.1,2,1.0,9917,9072,9042,0.915,0.912
100000,0.1,1,1.0,9917,8436,8136,0.851,0.82
100000,0.1,5,0.95,10002,6753,6537,0.675,0.654
100000,0.1,4,0.95,10002,7561,7324,0.756,0.732
100000,0.1,3,0.95,10002,8029,7765,0.803,0.776
100000,0.1,2,0.95,10002,8434,7998,0.843,0.8
100000,0.1,1,0.95,10002,7975,7278,0.797,0.728
100000,0.1,5,0.9,9945,5419,4941,0.545,0.497
100000,0.1,4,0.9,9945,6574,5965,0.661,0.6
100000,0.1,3,0.9,9945,7332,6632,0.737,0.667
100000,0.1,2,0.9,9945,7840,6899,0.788,0.694
100000,0.1,1,0.9,9945,7645,6539,0.769,0.658
100000,0.1,5,0.85,9978,4561,3779,0.457,0.379
100000,0.1,4,0.85,9978,6033,4981,0.605,0.499
100000,0.1,3,0.85,9978,7019,5811,0.703,0.582
100000,0.1,2,0.85,9978,7445,5992,0.746,0.601
100000,0.1,1,0.85,9978,7699,6006,0.772,0.602
100000,0.1,5,0.8,9811,3404,2484,0.347,0.253
100000,0.1,4,0.8,9811,5187,3771,0.529,0.384
100000,0.1,3,0.8,9811,6553,4732,0.668,0.482
100000,0.1,2,0.8,9811,7136,5045,0.727,0.514
100000,0.1,1,0.8,9811,7672,5220,0.782,0.532
100000,0.1,5,0.75,9929,2819,1762,0.284,0.177
100000,0.1,4,0.75,9929,4796,2992,0.483,0.301
100000,0.1,3,0.75,9929,6596,4039,0.664,0.407
100000,0.1,2,0.75,9929,7304,4426,0.736,0.446
100000,0.1,1,0.75,9929,7872,4681,0.793,0.471
100000,0.1,5,0.7,10009,2179,1073,0.218,0.107
100000,0.1,4,0.7,10009,4217,2081,0.421,0.208
100000,0.1,3,0.7,10009,6643,3219,0.664,0.322
100000,0.1,2,0.7,10009,7780,3786,0.777,0.378
100000,0.1,1,0.7,10009,8206,4035,0.82,0.403
10000,0.1,5,1.0,1004,802,802,0.799,0.799
10000,0.1,4,1.0,1004,872,871,0.869,0.868
10000,0.1,3,1.0,1004,881,878,0.877,0.875
10000,0.1,2,1.0,1004,903,898,0.899,0.894
10000,0.1,1,1.0,1004,850,819,0.847,0.816
10000,0.1,5,0.95,1000,607,591,0.607,0.591
10000,0.1,4,0.95,1000,718,699,0.718,0.699
10000,0.1,3,0.95,1000,773,751,0.773,0.751
10000,0.1,2,0.95,1000,812,780,0.812,0.78
10000,0.1,1,0.95,1000,781,730,0.781,0.73
10000,0.1,5,0.9,1007,470,433,0.467,0.43
10000,0.1,4,0.9,1007,633,578,0.629,0.574
10000,0.1,3,0.9,1007,744,671,0.739,0.666
10000,0.1,2,0.9,1007,801,706,0.795,0.701
10000,0.1,1,0.9,1007,770,658,0.765,0.653
10000,0.1,5,0.85,969,377,305,0.389,0.315
10000,0.1,4,0.85,969,552,446,0.57,0.46
10000,0.1,3,0.85,969,708,552,0.731,0.57
10000,0.1,2,0.85,969,799,612,0.825,0.632
10000,0.1,1,0.85,969,777,579,0.802,0.598
10000,0.1,5,0.8,992,311,230,0.314,0.232
10000,0.1,4,0.8,992,513,363,0.517,0.366
10000,0.1,3,0.8,992,708,504,0.714,0.508
10000,0.1,2,0.8,992,815,565,0.822,0.57
10000,0.1,1,0.8,992,813,558,0.82,0.562
10000,0.1,5,0.75,1005,234,144,0.233,0.143
10000,0.1,4,0.75,1005,442,274,0.44,0.273
10000,0.1,3,0.75,1005,685,417,0.682,0.415
10000,0.1,2,0.75,1005,838,507,0.834,0.504
10000,0.1,1,0.75,1005,811,495,0.807,0.493
10000,0.1,5,0.7,1013,190,99,0.188,0.098
10000,0.1,4,0.7,1013,397,202,0.392,0.199
10000,0.1,3,0.7,1013,656,344,0.648,0.34
10000,0.1,2,0.7,1013,800,405,0.79,0.4
10000,0.1,1,0.7,1013,760,397,0.75,0.392
10000,0.1,5,1.0,1030,808,808,0.784,0.784
10000,0.1,4,1.0,1030,896,894,0.87,0.868
10000,0.1,3,1.0,1030,916,911,0.889,0.884
10000,0.1,2,1.0,1030,925,921,0.898,0.894
10000,0.1,1,1.0,1030,875,842,0.85,0.817
10000,0.1,5,0.95,1010,577,559,0.571,0.553
10000,0.1,4,0.95,1010,684,664,0.677,0.657
10000,0.1,3,0.95,1010,781,761,0.773,0.753
10000,0.1,2,0.95,1010,815,783,0.807,0.775
10000,0.1,1,0.95,1010,810,740,0.802,0.733
10000,0.1,5,0.9,964,449,414,0.466,0.429
10000,0.1,4,0.9,964,597,551,0.619,0.572
10000,0.1,3,0.9,964,697,641,0.723,0.665
10000,0.1,2,0.9,964,761,676,0.789,0.701
10000,0.1,1,0.9,964,734,640,0.761,0.664
10000,0.1,5,0.85,994,374,308,0.376,0.31
10000,0.1,4,0.85,994,540,436,0.543,0.439
10000,0.1,3,0.85,994,674,550,0.678,0.553
10000,0.1,2,0.85,994,764,603,0.769,0.607
10000,0.1,1,0.85,994,763,599,0.768,0.603
10000,0.1,5,0.8,1013,279,209,0.275,0.206
10000,0.1,4,0.8,1013,499,371,0.493,0.366
10000,0.1,3,0.8,1013,702,498,0.693,0.492
10000,0.1,2,0.8,1013,823,576,0.812,0.569
10000,0.1,1,0.8,1013,811,564,0.801,0.557
10000,0.1,5,0.75,1029,228,153,0.222,0.149
10000,0.1,4,0.75,1029,412,271,0.4,0.263
10000,0.1,3,0.75,1029,649,397,0.631,0.386
10000,0.1,2,0.75,1029,776,457,0.754,0.444
10000,0.1,1,0.75,1029,794,469,0.772,0.456
10000,0.1,5,0.7,965,205,105,0.212,0.109
10000,0.1,4,0.7,965,401,203,0.416,0.21
10000,0.1,3,0.7,965,670,343,0.694,0.355
10000,0.1,2,0.7,965,857,419,0.888,0.434
10000,0.1,1,0.7,965,815,430,0.845,0.446
10000,0.1,5,1.0,976,742,742,0.76,0.76
10000,0.1,4,1.0,976,843,842,0.864,0.863
10000,0.1,3,1.0,976,853,852,0.874,0.873
10000,0.1,2,1.0,976,883,880,0.905,0.902
10000,0.1,1,1.0,976,849,817,0.87,0.837
10000,0.1,5,0.95,1029,547,528,0.532,0.513
10000,0.1,4,0.95,1029,696,677,0.676,0.658
10000,0.1,3,0.95,1029,793,766,0.771,0.744
10000,0.1,2,0.95,1029,847,808,0.823,0.785
10000,0.1,1,0.95,1029,846,774,0.822,0.752
10000,0.1,5,0.9,986,406,372,0.412,0.377
10000,0.1,4,0.9,986,561,512,0.569,0.519
10000,0.1,3,0.9,986,700,635,0.71,0.644
10000,0.1,2,0.9,986,772,673,0.783,0.683
10000,0.1,1,0.9,986,775,654,0.786,0.663
10000,0.1,5,0.85,1006,321,276,0.319,0.274
10000,0.1,4,0.85,1006,482,410,0.479,0.408
10000,0.1,3,0.85,1006,652,538,0.648,0.535
10000,0.1,2,0.85,1006,733,590,0.729,0.586
10000,0.1,1,0.85,1006,762,596,0.757,0.592
10000,0.1,5,0.8,963,226,162,0.235,0.168
10000,0.1,4,0.8,963,410,308,0.426,0.32
10000,0.1,3,0.8,963,610,442,0.633,0.459
10000,0.1,2,0.8,963,724,516,0.752,0.536
10000,0.1,1,0.8,963,738,513,0.766,0.533
10000,0.1,5,0.75,1026,162,107,0.158,0.104
10000,0.1,4,0.75,1026,370,232,0.361,0.226
10000,0.1,3,0.75,1026,609,371,0.594,0.362
10000,0.1,2,0.75,1026,766,468,0.747,0.456
10000,0.1,1,0.75,1026,768,472,0.749,0.46
10000,0.1,5,0.7,999,154,83,0.154,0.083
10000,0.1,4,0.7,999,308,167,0.308,0.167
10000,0.1,3,0.7,999,574,289,0.575,0.289
10000,0.1,2,0.7,999,786,387,0.787,0.387
10000,0.1,1,0.7,999,793,405,0.794,0.405
10000,0.1,5,1.0,1031,727,727,0.705,0.705
10000,0.1,4,1.0,1031,826,826,0.801,0.801
10000,0.1,3,1.0,1031,873,872,0.847,0.846
10000,0.1,2,1.0,1031,906,901,0.879,0.874
10000,0.1,1,1.0,1031,827,802,0.802,0.778
10000,0.1,5,0.95,983,509,497,0.518,0.506
10000,0.1,4,0.95,983,636,616,0.647,0.627
10000,0.1,3,0.95,983,747,717,0.76,0.729
10000,0.1,2,0.95,983,800,754,0.814,0.767
10000,0.1,1,0.95,983,786,720,0.8,0.732
10000,0.1,5,0.9,1045,371,339,0.355,0.324
10000,0.1,4,0.9,1045,551,494,0.527,0.473
10000,0.1,3,0.9,1045,720,641,0.689,0.613
10000,0.1,2,0.9,1045,799,708,0.765,0.678
10000,0.1,1,0.9,1045,813,696,0.778,0.666
10000,0.1,5,0.85,1019,224,181,0.22,0.178
10000,0.1,4,0.85,1019,393,331,0.386,0.325
10000,0.1,3,0.85,1019,611,497,0.6,0.488
10000,0.1,2,0.85,1019,744,584,0.73,0.573
10000,0.1,1,0.85,1019,770,587,0.756,0.576
10000,0.1,5,0.8,988,166,123,0.168,0.124
10000,0.1,4,0.8,988,322,226,0.326,0.229
10000,0.1,3,0.8,988,548,362,0.555,0.366
10000,0.1,2,0.8,988,705,470,0.714,0.476
10000,0.1,1,0.8,988,729,491,0.738,0.497
10000,0.1,5,0.75,1027,124,81,0.121,0.079
10000,0.1,4,0.75,1027,253,170,0.246,0.166
